Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Physical Geology,91750,GEO,100,1,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Shineman Center 174,Fall2019,Lecture,Rachel   Lee,30
Physical Geology,91976,GEO,100,2,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 174,Fall2019,Lecture,Nicholas J  DiFrancesco,30
Physical Geology,94094,GEO,100,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 172,Fall2019,Lecture,Rachel   Lee,30
Physical Geology Laboratory,91033,GEO,101,4,Undergraduate ,3,,2:20 pm - 5:15 pm,R,Shineman Center 372,Fall2019,Laboratory,Paul Albert  Agle,30
Physical Geology Laboratory,91400,GEO,101,5,Undergraduate ,3,,9:35 am - 12:30 pm,T,Shineman Center 372,Fall2019,Laboratory,Rachel   Lee,30
Environmental Sustainability,90998,GEO,115,6,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 122,Fall2019,Lecture,Justin   Stroup,30
Mineralogy,90416,GEO,310,7,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Wilber B5,Fall2019,Lecture,Nicholas J  DiFrancesco,30
Mineralogy Lab,90966,GEO,310,1,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 370,Fall2019,Laboratory,Nicholas J  DiFrancesco,30
Mineralogy,94785,GEO,310,2,Undergraduate ,3,,9:00 am - 12:00 pm,T,Shineman Center 370,Fall2019,Laboratory,Nicholas J  DiFrancesco,30
Earth's Fury,91622,GEO,315,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Kevin John  Finerghty,30
Structural Geology,91977,GEO,330,4,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 370,Fall2019,Lecture,David   Valentino,30
Structural Geology Lab,91978,GEO,330,5,Undergraduate ,3,,9:35 am - 12:30 pm,R,Shineman Center 370,Fall2019,Laboratory,David   Valentino,30
T:Geomorphology Lab,94731,GEO,390,6,Undergraduate ,3,,2:20 pm - 5:15 pm,T,Shineman Center 372,Fall2019,Laboratory,Justin   Stroup,30
Stratigraphy,90832,GEO,420,7,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 370,Fall2019,Lecture,Paul Albert  Agle,30
Stratigraphy Lab,90967,GEO,420,1,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 370,Fall2019,Laboratory,Paul Albert  Agle,30
Volcanology,94494,GEO,435,2,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 372,Fall2019,Lecture,Rachel   Lee,30
Geomorphology,94101,GEO,450,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 372,Fall2019,Lecture,Justin   Stroup,30
