Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Organization Change,12839,EAD,660,1,Graduate ,3,,4:30 pm - 10:00 pm,W,Sonata 105,Spring2020,Lecture,Linda Rae  Markert,30
Intro to Play Therapy,14255,CPS,592,2,Graduate ,3,,9:00 am - 3:00 pm,R,Wilber 311,Spring2020,Lecture,Jodi Ann  Mullen,30
Organization Change,13852,EAD,660,3,Graduate ,3,,4:30 pm - 10:00 pm,T,Cambria,Spring2020,Lecture,Tamara   Lipke,30
TTMM: Photography,60252,ART,102,4,Undergraduate ,3,,TBA,TBA,TBA,Spring2020,Studio,Katie   Herrmann,30
TTMM: Ceramics,60253,ART,102,5,Undergraduate ,3,,TBA,TBA,TBA,Spring2020,Studio,Leslie Z.  Nicoletti,30
Fiction Writing: Introductory,60258,CRW,206,6,Undergraduate ,3,,TBA,TBA,TBA,Spring2020,Seminar,William J  Neumire,30
DASA Training,11694,DASA,1020,7,"Undergraduate, Non-matric undergraduate, Non-matric graduate, Graduate ",3,,8:30 am - 3:30 pm,S,Marano Campus Center 211,Spring2020,Lecture,Carlo   Cuccaro,30
Princ. Of Lit. Rep.,60097,ENG,150,1,Undergraduate ,3,,TBA,TBA,TBA,Spring2020,Lecture,Emily   Kirch,30
School Principalship,10796,EAD,610,2,Graduate ,3,,4:30 pm - 10:00 pm,M,Palmyra-Macedon CSD ,Spring2020,Lecture,Angela   Perrotto,30
School Principalship,10587,EAD,610,3,Graduate ,3,,4:30 pm - 9:45 pm,M,Sonata 107,Spring2020,Lecture,Jeffrey S.  Craig,30
Organization Change,12840,EAD,660,4,Graduate ,3,,4:30 pm - 10:00 pm,M,Palmyra-Macedon CSD ,Spring2020,Lecture,Danielle M  Dehm,30
Freshmen Colloquium,11323,ART,111,5,Undergraduate ,3,,12:40 pm - 1:35 pm,MW,Tyler Hall 213,Spring2020,Studio,Richard   Metzgar,30
Transfer Student Colloquim,11196,ART,311,6,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Tyler Hall 200,Spring2020,Studio,Elizabeth Nichole  Hunt,30
CSWB:Comparative Media Paris,13662,BRC,370,7,Undergraduate ,3,,3:00 pm - 5:00 pm,M,Mahar Hall 314,Spring2020,Lecture,Eileen N  Gilligan,30
S: Rome Through the Ages,13430,CMA,396,1,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Mahar Hall 216,Spring2020,Lecture,Benjamin R  Entner,30
Strat Instr in the Disciplines,11735,EDU,104,2,Undergraduate ,3,,1:50 pm - 2:45 pm,MW,Shineman Center 196,Spring2020,Lecture,Allison R  Peer,30
