Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Internship Mental Health Couns,91481,CPS,515,1,Graduate ,3,,4:00 pm - 7:00 pm,T,Mahar Hall 107,Summer2016,Internship,Tamara   Sullivan,30
Internship Mental Health Couns,91576,CPS,515,2,Graduate ,3,,4:00 pm - 7:00 pm,T,Mahar Hall 107,Summer2016,Internship,Tamara   Sullivan,30
Intern:Alcohol/Substance Couns,91480,CPS,516,3,Graduate ,3,,4:00 pm - 7:00 pm,T,Mahar Hall 107,Summer2016,Internship,Tamara   Sullivan,30
Principles Of Accounting II,20155,ACC,202,4,Undergraduate ,3,,5:30 pm - 8:55 pm,TR,Rich Hall 320,Summer2016,Lecture,Eric M  Ramon,30
Principles Of Accounting II,20191,ACC,202,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Susan   Wright,30
Intermediate Accounting II,20157,ACC,302,6,Undergraduate ,3,,5:30 pm - 8:55 pm,TR,Rich Hall 220,Summer2016,Lecture,Clifford   Brown,30
Cost Accounting,20379,ACC,310,7,Undergraduate ,3,,5:30 pm - 9:10 pm,MW,Rich Hall 219,Summer2016,Lecture,Eric M  Ramon,30
TEMM: Intro to Digital Media,20281,ART,103,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Alesha Marie  Hall,30
West Hert I-Survy Art I,20285,ART,250,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Benjamin R  Entner,30
Amer Sign Language II,20238,ASL,102,3,Undergraduate ,3,,5:30 pm - 8:55 pm,T,Marano Campus Center 242,Summer2016,Lecture,Laura   Latray-Corey,30
Human Biology,20315,BIO,203,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Elizabeth   Balko,30
Understanding Evolution,20170,BIO,207,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Anthony L  Contento,30
Human Genetics,20043,BIO,211,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Anthony L  Contento,30
Broadcasting and Cable,20317,BRC,300,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Frank   Messere,30
Media Economics,20318,BRC,301,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Jason   Zenor,30
Chemistry & Public Concern,20174,CHE,209,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Fehmi   Damkaci,30
Medicinal Chemistry,20178,CHE,455,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Fehmi   Damkaci,30
Strategic Communication in Bus,20316,COM,211,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Mary   Toale,30
Organizational Communication,20181,COM,365,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Christine M  Hirsch,30
Case Studies Public Relations,20182,COM,415,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Distance Learning,Taejin   Jung,30
Psy Fnd: Psychopathology,20354,CPS,505,7,Graduate ,3,,9:00 am - 12:25 pm,TR,Mahar Hall 203,Summer2016,Lecture,Kelly Ann  Spence,30
Intro to Group Process,20098,CPS,541,1,Graduate ,3,,1:00 pm - 4:25 pm,TR,Sonata 105,Summer2016,Lecture,Terrance E  O'Brien,30
Advanced Clinical Assessment,20188,CPS,569,2,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2016,Lecture,Jennifer A  Rapke,30
Research Methods in HS/CC,20437,CPS,596,3,Graduate ,3,,4:00 pm - 7:40 pm,MW,Mahar Hall 103,Summer2016,Lecture,Tiphanie   Gonzalez,30
