Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Environmental Sustainability,70015,GEO,115,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Kevin John  Finerghty,30
Intro to the Visual Arts,70072,ART,100,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Justin Anty  Mastrangelo,30
Human Biology,70073,BIO,203,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Elizabeth   Balko,30
Introduction To Mass Media,70074,BRC,108,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Brian   Moritz,30
Broadcast News Writing,70052,BRC,229,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Michael J  Riecke,30
Survey of Chemistry,70002,CHE,101,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Martha   Bruch,30
Chemistry & Public Concern,70003,CHE,209,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Fehmi   Damkaci,30
Strategic Communication in Bus,70054,COM,211,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Seminar,Rose Marie   Crisalli,30
Interpersonal Communication,70055,COM,212,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Katherine   Thweatt,30
Crisis Communication,70057,COM,314,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Taejin   Jung,30
Case Studies Public Relations,70107,COM,415,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Lindsay Marie  McCluskey,30
Intro to Criminal Justice,70092,CRJ,101,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Roger   Guy,30
The Death Penalty,70081,CRJ,313,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Jaclyn   Schildkraut,30
Crime and the Media,70094,CRJ,330,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Jaclyn   Schildkraut,30
Wrongful Convictions,70102,CRJ,355,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Jeremy J  Shifton,30
Writing into Culture,70005,CRW,250,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Robert T.  O'Connor,30
Tools for Computing,70007,CSC,101,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Michael L  Smith,30
WWW & Multimedia in Education,70059,EDU,511,4,Graduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Harrison   Yang,30
Princ. of Literary Represent.,70010,ENG,150,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Tiffany L  Deater,30
Modern Culture & Media,70011,ENG,220,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Laura A  Halferty,30
Intro Cinema & Screen Studies,70012,ENG,286,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Jacob A  Dodd,30
Corporate Finance,70000,FIN,325,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 06, 2020 - Jan 24, 2020",Lecture,Hong   Wan,30
Internship Mental Health Couns,11681,CPS,515,2,Graduate ,3,,9:00 am - 11:50 am,R,Wilber 311,"Jan 30, 2020 - Jan 30, 2020",Internship,Jodi Ann  Mullen,30
Intern:Alcohol/Substance Couns,11682,CPS,516,3,Graduate ,3,,9:00 am - 11:50 am,R,Wilber 311,"Jan 30, 2020 - Jan 30, 2020",Internship,Jodi Ann  Mullen,30
Internship in School Psych,12043,CPS,617,4,Graduate ,3,,9:00 am - 12:00 pm,F,Wilber 311,"Jan 31, 2020 - Jan 31, 2020",Paid Internship,James L  McDougal,30
Internship in School Psych,13908,CPS,617,5,Graduate ,3,,9:00 am - 12:00 pm,F,Wilber 311,"Jan 31, 2020 - Jan 31, 2020",Paid Internship,James L  McDougal,30
Internship: School Counseling,11628,CPS,618,6,Graduate ,3,,12:30 pm - 3:00 pm,F,Wilber 311,"Jan 31, 2020 - Jan 31, 2020",Internship,Sean   Finnerty,30
Internship: School Counseling,11368,CPS,618,7,Graduate ,3,,12:30 pm - 3:00 pm,F,Wilber 311,"Jan 31, 2020 - Jan 31, 2020",Internship,Sean   Finnerty,30
Internship: School Counseling,12719,CPS,618,1,Graduate ,3,,12:30 pm - 3:00 pm,F,Wilber 311,"Jan 31, 2020 - Jan 31, 2020",Seminar,Sean   Finnerty,30
