"500000","Ima","Lewis","1-561-914-4580","Lewis.Ima@lakeroyaluniversity.com.com","P.O. Box 188, 1496 Venenatis St.","Orange Park","32003","Password1","No","Student","Florida","United States of America"
"500001","Branden","Aaron","1-561-349-6915","Aaron.Branden@lakeroyaluniversity.com.com","9825 Adipiscing St.","Ponte Vedra Beach","32004","Password1","No","Student","Florida","United States of America"
"500002","Heather","Georgia","1-561-985-8191","Georgia.Heather@lakeroyaluniversity.com.com","1303 Dolor St.","Fleming Island","32006","Password1","No","Student","Florida","United States of America"
"500003","James","Katelyn","1-561-139-0882","Katelyn.James@lakeroyaluniversity.com.com","P.O. Box 453, 4098 Sed Road","Bostwick","32007","Password1","No","Student","Florida","United States of America"
"500004","Tyrone","Jared","1-561-337-1973","Jared.Tyrone@lakeroyaluniversity.com.com","P.O. Box 713, 5450 Mollis Rd.","Branford","32008","Password1","No","Student","Florida","United States of America"
"500005","Reagan","Georgia","1-561-472-3071","Georgia.Reagan@lakeroyaluniversity.com.com","6740 Velit. St.","Bryceville","32009","Password1","No","Student","Florida","United States of America"
"500006","Jada","Freya","1-561-752-7717","Freya.Jada@lakeroyaluniversity.com.com","4294 Vulputate, Rd.","Callahan","32011","Password1","No","Student","Florida","United States of America"
"500007","Lyle","Cassidy","1-561-667-5727","Cassidy.Lyle@lakeroyaluniversity.com.com","9422 Sem Rd.","Day","32013","Password1","No","Student","Florida","United States of America"
"500008","Lesley","Jana","1-561-490-5731","Jana.Lesley@lakeroyaluniversity.com.com","Ap #231-4979 Ipsum Rd.","Lake City","32024","Password1","No","Student","Florida","United States of America"
"500009","Aiko","Oliver","1-561-760-6636","Oliver.Aiko@lakeroyaluniversity.com.com","P.O. Box 482, 7298 Risus. Road","Lake City","32025","Password1","No","Student","Florida","United States of America"
"500010","Halee","Kasper","1-561-473-4340","Kasper.Halee@lakeroyaluniversity.com.com","4546 Nec, St.","Raiford","32026","Password1","No","Student","Florida","United States of America"
"500011","Isadora","Graiden","1-561-622-0659","Graiden.Isadora@lakeroyaluniversity.com.com","9923 Metus. St.","Doctors Inlet","32030","Password1","No","Student","Florida","United States of America"
"500012","Nora","Oleg","1-561-852-5542","Oleg.Nora@lakeroyaluniversity.com.com","877-663 Donec Rd.","Elkton","32033","Password1","No","Student","Florida","United States of America"
"500013","Griffith","Armand","1-561-146-2139","Armand.Griffith@lakeroyaluniversity.com.com","441-7715 At St.","Fernandina Beach","32034","Password1","No","Student","Florida","United States of America"
"500014","Aretha","Abraham","1-561-853-1638","Abraham.Aretha@lakeroyaluniversity.com.com","636-1877 Mauris Street","Fernandina Beach","32035","Password1","No","Student","Florida","United States of America"
